ADM1_FR,ADM2_FR,ADM2_PCODE,pcode_ch,year,ch,asi,bio,pluie
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2013,,35.89757142857143,80.45443008610962,93.23639772226574
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2014,7.000328583803805,40.476142857142854,79.17035929307936,114.25716843614852
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2015,16.999731158705977,16.208714285714287,82.74528954455465,97.48764449832876
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2016,25.0,0.0,101.41969387191918,111.16639864840214
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2017,20.00027874952961,0.0,66.43421059712495,147.90847527075462
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2018,25.999838409953945,0.0,131.94149039189537,164.5604079490569
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2019,4.999869896697978,0.7325714285714285,86.5473864870832,101.33279449033029
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2020,25.0,11.97342857142857,113.22261897875848,171.15141207738012
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2021,22.00060698027314,7.326142857142857,94.09101945160444,130.66044752033991
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2022,28.000468960665927,0.0,139.4114237716745,148.31822047098248
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2023,26.000306104600313,0.0,129.39633770396705,108.53953900858502
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2024,28.000131189120047,0.0,147.8589153254873,163.49956078682305
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2025,24.999736089265166,0.0,162.29033414969882,106.34627959777616
Barh-El-Gazel,Barh-El-Gazel Ouest,TD1903,TCD1903,2026,15.0,5.148000000000001,86.9303089355585,85.79026097401487
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,1999,,0.0,149.44760872842193,130.03348123451178
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2000,,19.505428571428578,104.70921511583347,60.85361712398161
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2001,,64.28557142857143,106.89994138426914,85.97520760891224
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2002,,76.19057142857143,69.19910256974853,98.20778572009914
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2003,,0.0,138.57108153172365,121.79732206253388
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2004,,3.663,52.85863589371564,77.43426536334017
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2005,,0.0,111.7322789989768,110.11453220288564
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2006,,43.95614285714286,69.17776950678277,99.38678543664528
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2007,,3.296714285714286,87.85933373213948,84.71622338410246
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2008,,24.175857142857144,63.48242994734038,118.4612664494456
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2009,,17.12457142857143,61.52336520453039,108.36525697478947
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2010,,0.0,101.27276483069312,101.69146186422842
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2011,,34.06585714285714,59.03192905500815,126.97638913445536
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2012,,0.0,110.22133930120668,127.42149590675773
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2013,,35.89757142857143,76.8489642561281,93.23639772226574
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2014,17.999759957478183,40.47614285714285,77.22502243836446,114.25716843614852
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2015,17.999759957478183,16.208714285714287,80.02426760607472,97.48764449832876
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2016,24.999861985966735,0.0,117.73200798807244,111.16639864840214
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2017,21.0,0.0,78.6299326092697,147.90847527075462
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2018,23.00002576456342,0.0,132.04367527135005,164.5604079490569
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2019,11.999807618314737,0.7325714285714285,89.66009172839992,101.33279449033029
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2020,29.000096190842633,11.97342857142857,119.31541860081003,171.15141207738012
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2021,27.00020904466588,7.326142857142857,95.30277081279624,130.66044752033991
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2022,30.99982951843444,0.0,143.9818628982367,148.31822047098248
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2023,31.9998941481573,0.0,136.15414992736174,108.53953900858502
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2024,32.00020080657307,0.0,167.09504006274622,163.49956078682305
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2025,29.00008483100452,0.0,165.2312425014779,106.34627959777616
Barh-El-Gazel,Barh-El-Gazel Sud,TD1901,TCD1901,2026,23.0,5.148000000000001,74.96199460035362,85.79026097401487
Batha,Batha Est,TD0102,TCD0102,1999,,0.0,155.9393370383999,144.67121703013265
Batha,Batha Est,TD0102,TCD0102,2000,,24.590185187204504,99.54765121550584,80.32667056575671
Batha,Batha Est,TD0102,TCD0102,2001,,13.088760597708212,94.40033608641944,104.42884347307582
Batha,Batha Est,TD0102,TCD0102,2002,,53.14542970961783,74.21752207346745,74.12447028946576
Batha,Batha Est,TD0102,TCD0102,2003,,0.5636172339998071,103.00282346053578,127.1744406837565
Batha,Batha Est,TD0102,TCD0102,2004,,5.712642052649409,66.73339176249073,64.98113608173472
Batha,Batha Est,TD0102,TCD0102,2005,,0.4082072877983588,110.72727903312436,108.01345457606084
Batha,Batha Est,TD0102,TCD0102,2006,,46.15581288467299,62.063985584376525,98.30918793034093
Batha,Batha Est,TD0102,TCD0102,2007,,2.229529641171687,110.14336021687264,83.21050407181006
Batha,Batha Est,TD0102,TCD0102,2008,,0.1173189410075192,94.92063840199653,86.90092039297228
Batha,Batha Est,TD0102,TCD0102,2009,,1.6829744509439826,55.687797969315575,87.503489785087
Batha,Batha Est,TD0102,TCD0102,2010,,0.0005601663061572,114.28593360620891,129.79482743911734
