ADM1_FR,ADM1_PCODE,ADM2_FR,ADM2_PCODE,key,pcode_ch,nom_fichier,pcode_fichier,prov_fichier,ch_p3_pct_max_2024_2026,asi_2024,asi_2025,asi_2026,asi_max_2024_2026,asi_raw_max_2024_2026,bio_2024,bio_2025,bio_2026,bio_min_2024_2026,bio_raw_min_2024_2026,asi_trend_pts_per_yr,bio_trend_pct_per_yr,bio_baseline_kgha,asi_unit_fao,population_ch_2026,ch_p3_pct_cur_2026,ch_p3_pct_proj_2026,ch_p3_pop_proj_2026,ch_phase_max_2024_2026,ch_n_analyses,score_ch,score_asi,score_bio,zone_saharienne,indice_secheresse,rang,categorie,indicateur_secheresse,zone_aa,notes
Guéra,TD04,Guéra,TD0401,guera,TCD0401,Guéra,TCD0401,GUÉRA,23.999808034444108,8.293507597340822,8.770490427350328,9.328473257359832,9.328473257359832,0.5062222222222222,92.49854529388584,115.30259569555427,85.80251358781398,85.80251358781398,83.23915160333424,-0.6229828300094966,-0.2060354385254765,2940.8395977315704,Guera,312901.0,5.0,20.999999999999996,65709.20999999999,3.0,8.0,0.4666602678148036,0.2332118314339958,0.2839497282437204,Non,0.3418125750292363,52,Modéré,0,Non,
Mayo-Kebbi Ouest,TD12,Mayo-Binder,TD1203,mayobinder,TCD1203,Mayo Binder,TCD1203,MAYO KEBBI OUEST,13.0,15.318145773979095,59.797206324786295,24.84148909781577,59.797206324786295,57.52988888888889,103.81844509880446,104.4206376135064,119.858833950284,103.81844509880446,99.81350432759896,-0.1679494396961063,-0.3086111156755566,3419.0931432892626,Mayo-Dala,99617.0,8.999999999999998,13.0,12950.21,2.0,8.0,0.1,1.0,0.0,Non,0.3399999999999999,53,Modéré,0,Non,Orthographe fichier HNRP : Mayo Binder
Guéra,TD04,Abtouyour,TD0402,abtouyour,TCD0402,Abtouyour,TCD0402,GUÉRA,25.0,8.293507597340822,8.770490427350328,9.328473257359832,9.328473257359832,0.5062222222222222,96.36210443109675,113.4474954733035,88.8893611860229,88.8893611860229,94.3862917092805,-0.6229828300094966,0.426483722819232,2639.2972008429483,Guera,303803.0,21.000000000000004,25.0,75950.75,3.0,8.0,0.5,0.2332118314339958,0.222212776279542,Non,0.3366273823140613,54,Modéré,0,Non,
Guéra,TD04,Barh-Signaka,TD0403,barhsignaka,TCD0403,Bahar Signaka,TCD0403,GUÉRA,25.0,8.293507597340822,8.770490427350328,9.328473257359832,9.328473257359832,0.5062222222222222,91.71665417557315,103.07985940508478,99.64851894827878,91.71665417557315,91.1833515235606,-0.6229828300094966,-0.0465174101088929,3843.8524797828527,Guera,187929.0,16.0,25.0,46982.25,3.0,8.0,0.5,0.2332118314339958,0.1656669164885366,Non,0.3196636243767597,55,Modéré,0,Non,Orthographe fichier HNRP : Bahar Signaka
Chari-Baguirmi,TD03,Baguirmi,TD0301,baguirmi,TCD0301,Baguirmi,TCD0301,CHARI BAGUIRMI,25.999836694700747,11.228178537511749,11.995588376068255,11.117442659069209,11.995588376068255,2.760555555555555,104.68337956310518,123.97649044368649,104.84942116632767,104.68337956310518,109.30130433945703,-0.684076505223172,0.3529060521832339,2758.746156280449,Baguirmi,380534.0,8.0,22.0,83717.48,3.0,8.0,0.5333278898233582,0.2998897094017064,0.0,Non,0.3032980687498552,56,Modéré,0,Non,
Ennedi Est,TD20,Am-Djarass,TD2001,amdjarass,TCD2001,Amdjarass,TCD2001,ENNEDI EST,31.00011166114564,,,,,,,,,,,,,,Ennedi,144089.0,21.000000000000004,27.0,38904.03,3.0,8.0,0.7000037220381881,0.0,0.0,Oui,0.2800014888152752,57,Modéré,0,Non,Zone saharienne : ASI et biomasse non applicables (scores aléa = 0) ; Orthographe fichier HNRP : Amdjarass
Borkou,TD02,Borkou Yala,TD0202,borkouyala,TCD0202,Borkou Yala,TCD0202,BORKOU,30.0009055510278,,,,,,,,,,,,,,Borkou,45750.0,21.0,26.0,11895.0,3.0,8.0,0.6666968517009267,0.0,0.0,Oui,0.2666787406803707,58,Modéré,0,Non,Zone saharienne : ASI et biomasse non applicables (scores aléa = 0)
Ennedi Est,TD20,Wadi Hawar,TD2002,wadihawar,TCD2002,Wadi Hawar,TCD2002,ENNEDI EST,30.0,,,,,,,,,,,,,,Ennedi,50608.0,23.0,30.0,15182.4,3.0,8.0,0.6666666666666666,0.0,0.0,Oui,0.2666666666666666,59,Modéré,0,Non,Zone saharienne : ASI et biomasse non applicables (scores aléa = 0)
Tibesti,TD22,Tibesti Est,TD2201,tibestiest,TCD2201,Tibesti Est,TCD2201,TIBESTI,29.99801626661377,,,,,,,,,,,,,,Borkou,26105.0,20.0,21.999999999999996,5743.099999999999,3.0,8.0,0.6666005422204591,0.0,0.0,Oui,0.2666402168881836,60,Modéré,0,Non,Zone saharienne : ASI et biomasse non applicables (scores aléa = 0)
Moyen-Chari,TD13,Bahr-Köh,TD1301,bahrkoh,TCD1301,Bahr Koh,TCD1301,MOYEN CHARI,15.000000000000002,15.611903608736904,12.512575897435866,18.074581519468165,18.074581519468165,13.742222222222225,91.51678076423104,98.6941036618657,103.361375095313,91.51678076423104,89.47787792277443,-0.2987833998100664,-0.1782320422051842,4793.328143928687,Barh Koh,556636.0,2.9999999999999996,5.0,27831.800000000003,2.0,8.0,0.1666666666666667,0.4518645379867041,0.1696643847153794,Non,0.2531253434772917,61,Modéré,0,Non,Orthographe fichier HNRP : Bahr Koh
Ennedi Ouest,TD23,Mourtcha,TD2303,mourtcha,TCD2303,Mourtcha,TCD2302,ENNEDI OUEST,27.001981895120252,,,,,,,,,,,,,,Ennedi,38672.0,16.0,23.000000000000004,8894.560000000001,3.0,8.0,0.5667327298373418,0.0,0.0,Oui,0.2266930919349367,62,Modéré,0,Non,Zone saharienne : ASI et biomasse non applicables (scores aléa = 0) ; P-code fichier HNRP (TCD2302) ≠ COD (TCD2303)
Chari-Baguirmi,TD03,Chari,TD0302,chari,TCD0302,Chari,TCD0302,CHARI BAGUIRMI,17.999987516696418,11.538392094017151,12.67721346153844,15.26903482905973,15.26903482905973,1.8845,107.1329965560773,128.85523420258463,102.9636066889643,102.9636066889643,108.12895353084886,-0.9230713675213672,0.3459774071024976,2312.0234705985577,Hadjer Lamis,331873.0,4.0,7.000000000000001,23231.11,2.0,8.0,0.2666662505565472,0.3817258707264933,0.0,Non,0.2211842614405668,63,Modéré,0,Non,
Mayo-Kebbi Est,TD11,Mayo-Lemié,TD1103,mayolemie,TCD1103,Mayo Lemyé,TCD1103,MAYO KEBBI EST,17.000243486729975,14.79856957307695,15.858669733982152,15.432116167272929,15.858669733982152,2.6886071784853844,99.36455515483034,120.51364371494893,109.38110905043064,99.36455515483034,100.3340631110968,-0.975560189296072,0.078056643418231,3093.0306202868596,Mayo-Boneye,14888.0,3.0,7.000000000000001,1042.16,2.0,8.0,0.2333414495576658,0.3964667433495538,0.0127088969033931,Non,0.2160892718989504,64,Modéré,0,Non,Orthographe fichier HNRP : Mayo Lemyé
Ennedi Ouest,TD23,Fada,TD2301,fada,TCD2301,Fada,TCD2301,ENNEDI OUEST,26.00026141133073,,,,,,,,,,,,,,Ennedi,71316.0,9.0,13.0,9271.08,3.0,8.0,0.5333420470443575,0.0,0.0,Oui,0.213336818817743,65,Modéré,0,Non,Zone saharienne : ASI et biomasse non applicables (scores aléa = 0)
Mayo-Kebbi Est,TD11,Mayo-Boneye,TD1101,mayoboneye,TCD1101,Mayo Boneye,TCD1101,MAYO KEBBI EST,15.000048380229902,15.496659544159684,16.539903418803554,15.467036182336315,16.539903418803554,3.2181111111111114,100.73513257439068,112.86478852462282,99.96592500382316,99.96592500382316,100.55467812488844,-0.9867994301994304,0.0406175039346558,3164.413949416667,Mayo-Boneye,428159.0,9.0,10.0,42815.9,2.0,8.0,0.1666682793409967,0.4134975854700888,0.0006814999235365,Non,0.1909210373544863,66,Faible,0,Non,Orthographe fichier HNRP : Mayo Boneye
N'Djamena,TD18,N'Djaména,TD1801,ndjamena,TCD1801,N'Djamena,TCD1801,N'DJAMENA,,11.538392094017151,12.67721346153844,15.26903482905973,15.26903482905973,1.8845,113.64839175767848,138.08810764483923,103.7934307261316,103.7934307261316,95.59675768719536,-0.9230713675213672,-0.5446277204963759,1250.8805393365385,Hadjer Lamis,,,,,,,,0.3817258707264933,0.0,Non,0.1908629353632466,67,Faible,0,Non,Non couvert par le Cadre Harmonisé (indice sans CH) ; Orthographe fichier HNRP : N'Djamena
Tibesti,TD22,Tibesti Ouest,TD2202,tibestiouest,TCD2202,Tibesti Ouest,TCD2202,TIBESTI,24.003292350429547,,,,,,,,,,,,,,Tibesti,20133.0,1.0,22.0,4429.26,3.0,8.0,0.4667764116809849,0.0,0.0,Oui,0.1867105646723939,68,Faible,0,Non,Zone saharienne : ASI et biomasse non applicables (scores aléa = 0)
Borkou,TD02,Borkou,TD0201,borkou,TCD0201,Borkou,TCD0201,BORKOU,22.999706029846617,,,,,,,,,,,,,,Borkou,124056.0,5.0,8.0,9924.48,3.0,8.0,0.4333235343282205,0.0,0.0,Oui,0.1733294137312882,69,Faible,0,Non,Zone saharienne : ASI et biomasse non applicables (scores aléa = 0)
Moyen-Chari,TD13,Lac Iro,TD1303,laciro,TCD1303,Lac Iro,TCD1303,MOYEN CHARI,15.000065536812029,8.946495726495804,8.477726495726593,10.128957264957272,10.128957264957272,6.209,96.06624869534468,103.4410149489708,104.8319738079035,96.06624869534468,94.4266595800391,-0.2703418803418803,-0.1365382025485477,4301.8644002652245,Lac Iro,316073.0,3.0000000000000004,4.0,12642.92,2.0,8.0,0.1666688512270675,0.2532239316239318,0.0786750260931063,Non,0.1662372278059385,70,Faible,0,Non,
